星期,年月日,睡眠分数,睡眠时长(分钟),轻度睡眠,深睡,休息心率,睡觉开始时间,睡觉结束时间
4,2022/3/25,82,448,6%,21%,75%,17:01,0:29
5,2022/8/30,93,393,10%,19%,72%,12:18,18:51
5,2022/4/25,79,596,3%,24%,80%,6:41,16:37
5,2022/5/14,97,496,12%,30%,84%,1:11,9:27
3,2022/4/22,87,596,15%,4%,91%,13:28,23:24
5,2022/1/13,83,416,22%,27%,90%,17:35,0:31
1,2022/5/18,95,383,26%,8%,89%,11:08,17:31
1,2022/5/25,93,307,8%,17%,74%,5:52,10:59
1,2022/1/21,86,424,0%,28%,80%,4:34,11:38
4,2022/1/4,70,554,25%,28%,99%,9:13,18:27
7,2022/8/24,79,335,11%,26%,92%,22:48,4:23
7,2022/1/24,88,453,1%,20%,100%,1:30,9:03
1,2022/6/20,91,504,7%,8%,100%,11:26,19:50
4,2022/6/27,72,405,14%,20%,97%,7:34,14:19
3,2022/6/19,92,597,23%,14%,82%,14:47,0:44
3,2022/8/16,71,498,19%,1%,92%,11:59,20:17
3,2022/3/23,79,511,12%,10%,80%,20:31,5:02
6,2022/8/1,85,505,22%,27%,100%,6:44,15:09
2,2022/5/24,86,340,5%,0%,71%,1:50,7:30
1,2022/3/22,85,371,4%,23%,100%,14:59,21:10
3,2022/4/8,76,466,9%,6%,98%,8:10,15:56
3,2022/8/26,96,505,22%,2%,96%,6:15,14:40
2,2022/3/7,94,515,22%,18%,91%,16:15,0:50
7,2022/5/18,95,595,30%,20%,71%,0:42,10:37
4,2022/8/20,87,585,12%,11%,76%,6:48,16:33
5,2022/5/14,97,400,22%,2%,94%,20:40,3:20
4,2022/4/5,93,565,2%,28%,100%,9:43,19:08
6,2022/4/16,71,344,15%,1%,70%,9:34,15:18
5,2022/5/17,88,355,0%,2%,71%,10:38,16:33
6,2022/4/12,75,467,26%,13%,79%,5:47,13:34
3,2022/7/13,78,518,27%,27%,88%,11:44,20:22
3,2022/6/10,80,318,4%,0%,87%,4:59,10:17
1,2022/5/8,86,551,17%,8%,82%,1:22,10:33
6,2022/1/25,72,367,19%,2%,77%,3:38,9:45
7,2022/1/21,80,559,9%,11%,90%,2:04,11:23
7,2022/5/11,75,301,1%,29%,74%,4:56,9:57
1,2022/6/7,79,445,10%,9%,99%,1:34,8:59
6,2022/1/18,82,310,14%,5%,81%,2:33,7:43
7,2022/4/23,70,477,4%,6%,82%,21:14,5:11
5,2022/1/22,91,509,12%,4%,81%,0:36,9:05
6,2022/7/11,81,327,29%,8%,72%,14:38,20:05
7,2022/2/15,99,329,7%,3%,79%,4:58,10:27
3,2022/6/6,96,306,19%,1%,92%,1:15,6:21
6,2022/2/2,86,361,10%,14%,92%,18:48,0:49
6,2022/1/14,77,413,15%,10%,82%,22:36,5:29
6,2022/2/26,78,447,9%,28%,99%,2:51,10:18
6,2022/6/19,86,345,6%,13%,83%,4:34,10:19
1,2022/1/24,78,534,25%,22%,80%,1:37,10:31
7,2022/7/22,93,315,20%,5%,89%,19:13,0:28
6,2022/7/1,97,365,3%,20%,96%,1:20,7:25
7,2022/7/2,98,585,16%,20%,97%,3:28,13:13
1,2022/1/14,71,526,19%,15%,73%,19:49,4:35
4,2022/3/28,85,358,25%,8%,82%,6:55,12:53
7,2022/8/3,97,543,23%,6%,95%,10:17,19:20
4,2022/2/20,97,444,24%,22%,85%,16:43,0:07
3,2022/2/21,97,436,10%,0%,90%,19:13,2:29
6,2022/1/25,77,538,8%,26%,98%,13:11,22:09
6,2022/3/1,72,555,24%,20%,79%,14:33,23:48
4,2022/5/1,72,512,17%,28%,76%,13:18,21:50
2,2022/8/20,82,337,17%,6%,94%,18:42,0:19
6,2022/6/23,73,314,19%,20%,90%,18:07,23:21
1,2022/4/6,76,419,1%,26%,96%,11:28,18:27
1,2022/6/2,92,553,20%,22%,99%,10:26,19:39
4,2022/3/11,85,563,25%,11%,86%,22:18,7:41
7,2022/2/22,99,305,13%,0%,89%,21:12,2:17
1,2022/3/15,73,439,28%,14%,98%,1:41,9:00
7,2022/5/9,71,502,20%,25%,78%,3:38,12:00
2,2022/3/22,87,538,14%,28%,74%,1:45,10:43
6,2022/8/4,86,538,27%,5%,74%,14:37,23:35
2,2022/8/30,97,530,0%,20%,97%,14:49,23:39
7,2022/6/6,95,381,5%,17%,70%,1:46,8:07
4,2022/7/25,72,303,24%,8%,87%,7:58,13:01
4,2022/3/6,74,365,7%,20%,87%,2:49,8:54
7,2022/1/17,93,339,7%,18%,84%,13:06,18:45
